program	rep	depth	noReads	percMutate	targMut	lenRef	refMatch	refSnp	refIns	refDel	refNs	matches	snp	ins	del	Ns	elpTime	sysTime	UserTime	memKb	percCPU	seed	usedSeed	medakaModel	usedMedaka	usedMajCon	minLen	minDepth	fastq	schemeDir	scheme	schemeVer	prefix	conDef	conScaffoldBuilder	conStich
LiloIvar	9	30	2790	500	1495	29903	28416	1481	6	6	0	ERR	ERR	ERR	ERR	ERR	111.26	23.06	205.86	395332	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	30	2790	500	1495	29903	28416	1481	6	6	0	ERR	ERR	ERR	ERR	ERR	111.26	23.06	205.86	395332	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	30	2790	500	1495	29903	28416	1481	6	6	0	ERR	ERR	ERR	ERR	ERR	111.26	23.06	205.86	395332	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	30	2790	500	1495	29903	28416	1481	6	6	0	ERR	ERR	ERR	ERR	ERR	111.26	23.06	205.86	395332	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	30	2790	500	1495	29903	28416	1481	6	6	0	ERR	ERR	ERR	ERR	ERR	111.26	23.06	205.86	395332	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	30	2790	500	1495	29903	28416	1481	6	6	0	ERR	ERR	ERR	ERR	ERR	111.26	23.06	205.86	395332	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	30	2790	500	1495	29903	28416	1481	6	6	0	29883	5	0	15	1816	0.83	0.03	1.43	11720	175%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	30	2790	500	1495	29903	28416	1481	6	6	0	29878	7	0	18	8163	0.97	0.07	1.59	14652	171%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	30	2790	1000	2990	29903	26941	2938	24	24	0	29854	34	2	15	2338	210.51	4.30	210.57	937860	102%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	30	2790	1000	2990	29903	26941	2938	24	24	0	29866	23	60	14	2896	6.08	1.83	9.36	13664	184%	1024	9216	r941_prom_high_g344	false	true	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	30	2790	1000	2990	29903	26941	2938	24	24	0	29836	45	204	22	2821	6.97	1.91	10.70	15864	180%	1024	9216	r941_prom_high_g344	false	true	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	30	2790	1000	2990	29903	26941	2938	24	24	0	ERR	ERR	ERR	ERR	ERR	110.92	23.33	204.85	393388	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	30	2790	1000	2990	29903	26941	2938	24	24	0	ERR	ERR	ERR	ERR	ERR	110.92	23.33	204.85	393388	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	30	2790	1000	2990	29903	26941	2938	24	24	0	ERR	ERR	ERR	ERR	ERR	110.92	23.33	204.85	393388	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	30	2790	1000	2990	29903	26941	2938	24	24	0	ERR	ERR	ERR	ERR	ERR	110.92	23.33	204.85	393388	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	30	2790	1000	2990	29903	26941	2938	24	24	0	ERR	ERR	ERR	ERR	ERR	110.92	23.33	204.85	393388	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	30	2790	1000	2990	29903	26941	2938	24	24	0	ERR	ERR	ERR	ERR	ERR	110.92	23.33	204.85	393388	205%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	30	2790	1000	2990	29903	26941	2938	24	24	0	29878	5	2	20	1819	0.86	0.02	1.50	15520	177%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	30	2790	1000	2990	29903	26941	2938	24	24	0	29874	9	2	20	7841	0.93	0.06	1.60	12936	179%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	0	0	128	28.35	3.27	27.87	384128	109%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	2	0	424	0.53	0.15	0.74	10092	168%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	0	0	152	0.63	0.19	0.86	10164	165%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	140	0	131	163.23	24.56	290.06	397408	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	50	4650	0	0	1700	0	0	0	0	0	1699	1	157	0	131	163.23	24.56	290.06	397408	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	0	0	131	163.23	24.56	290.06	397408	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	50	4650	0	0	1700	0	0	0	0	0	1699	1	1	0	131	163.23	24.56	290.06	397408	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	0	0	132	163.23	24.56	290.06	397408	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	50	4650	0	0	1700	0	0	0	0	0	1699	1	1	0	132	163.23	24.56	290.06	397408	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	0	0	30	0.14	0.01	0.24	12080	176%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	50	4650	0	0	1700	0	0	0	0	0	1700	0	0	0	413	0.14	0.02	0.22	10236	178%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	128	28.45	3.10	28.13	386616	109%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	710	0.63	0.16	0.88	11556	165%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	710	0.70	0.22	0.92	11748	162%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	140	0	131	160.80	24.53	288.11	400020	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	50	4650	100	17	1700	1683	17	0	0	0	1699	1	157	0	131	160.80	24.53	288.11	400020	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	131	160.80	24.53	288.11	400020	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	50	4650	100	17	1700	1683	17	0	0	0	1699	1	1	0	131	160.80	24.53	288.11	400020	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	132	160.80	24.53	288.11	400020	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	50	4650	100	17	1700	1683	17	0	0	0	1699	1	1	0	132	160.80	24.53	288.11	400020	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	30	0.14	0.01	0.23	10884	178%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	50	4650	100	17	1700	1683	17	0	0	0	1700	0	0	0	413	0.14	0.01	0.23	8764	177%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	128	27.99	3.31	27.46	389348	109%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	710	0.60	0.15	0.86	8800	167%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	710	0.67	0.17	0.93	10984	164%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	140	0	131	161.29	25.18	288.16	401424	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	50	4650	200	34	1700	1666	34	0	0	0	1699	1	157	0	131	161.29	25.18	288.16	401424	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	131	161.29	25.18	288.16	401424	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	50	4650	200	34	1700	1666	34	0	0	0	1699	1	1	0	131	161.29	25.18	288.16	401424	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	137	161.29	25.18	288.16	401424	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	50	4650	200	34	1700	1666	34	0	0	0	1699	1	1	0	137	161.29	25.18	288.16	401424	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	30	0.14	0.01	0.24	10296	177%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	50	4650	200	34	1700	1666	34	0	0	0	1700	0	0	0	413	0.14	0.01	0.23	8800	177%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	0	0	128	28.36	3.10	28.04	383200	109%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	500	85	1700	1615	85	0	0	0	1699	1	1	0	444	0.51	0.16	0.71	10272	169%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	0	0	445	0.60	0.12	0.85	10356	163%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	167	0	131	160.48	24.62	287.01	400608	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	50	4650	500	85	1700	1615	85	0	0	0	1699	1	188	0	131	160.48	24.62	287.01	400608	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	0	0	131	160.48	24.62	287.01	400608	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	50	4650	500	85	1700	1615	85	0	0	0	1699	1	2	0	131	160.48	24.62	287.01	400608	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	0	0	137	160.48	24.62	287.01	400608	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	50	4650	500	85	1700	1615	85	0	0	0	1699	1	2	0	137	160.48	24.62	287.01	400608	194%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	0	0	31	0.14	0.02	0.23	10180	179%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	50	4650	500	85	1700	1615	85	0	0	0	1700	0	0	0	413	0.14	0.01	0.23	11956	179%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	1000	170	1700	1530	170	0	0	0	1698	2	0	0	127	28.29	3.23	27.82	385808	109%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	0	0	188	0.48	0.13	0.67	11960	167%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	0	0	188	0.56	0.12	0.79	10428	162%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	167	0	206	162.69	24.55	289.16	400216	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	50	4650	1000	170	1700	1530	170	0	0	0	1699	1	168	0	206	162.69	24.55	289.16	400216	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	0	0	206	162.69	24.55	289.16	400216	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	50	4650	1000	170	1700	1530	170	0	0	0	1699	1	1	0	206	162.69	24.55	289.16	400216	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	0	0	216	162.69	24.55	289.16	400216	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	50	4650	1000	170	1700	1530	170	0	0	0	1699	1	1	0	216	162.69	24.55	289.16	400216	192%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	0	0	31	0.14	0.01	0.23	10980	182%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	50	4650	1000	170	1700	1530	170	0	0	0	1700	0	0	0	413	0.14	0.01	0.24	10592	183%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	0	0	5700	0	0	0	0	0	5700	0	0	0	961	51.91	3.36	51.62	386004	105%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	0	0	5700	0	0	0	0	0	5690	3	25	7	973	1.18	0.36	1.67	10460	171%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	0	0	5700	0	0	0	0	0	5695	0	0	5	942	1.41	0.45	1.95	18308	170%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	0	0	5700	0	0	0	0	0	5699	1	519	0	916	221.20	32.81	450.46	400936	218%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	9	50	4650	0	0	5700	0	0	0	0	0	5697	3	591	0	913	221.20	32.81	450.46	400936	218%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	9	50	4650	0	0	5700	0	0	0	0	0	5699	1	0	0	914	221.20	32.81	450.46	400936	218%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	9	50	4650	0	0	5700	0	0	0	0	0	5697	3	4	0	913	221.20	32.81	450.46	400936	218%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	9	50	4650	0	0	5700	0	0	0	0	0	5699	1	0	0	917	221.20	32.81	450.46	400936	218%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	9	50	4650	0	0	5700	0	0	0	0	0	5697	3	4	0	916	221.20	32.81	450.46	400936	218%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	9	50	4650	0	0	5700	0	0	0	0	0	5700	0	0	0	730	0.28	0.01	0.47	12452	175%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	9	50	4650	0	0	5700	0	0	0	0	0	5700	0	0	0	1375	0.29	0.03	0.48	12804	175%	1024	9216	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
artic	9	50	4650	100	57	5700	5643	57	0	0	0	5700	0	0	0	960	48.17	3.37	47.79	390052	106%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
buildCon	9	50	4650	100	57	5700	5643	57	0	0	0	5685	8	22	7	1040	1.32	0.44	1.89	11808	176%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
buildConIvar	9	50	4650	100	57	5700	5643	57	0	0	0	5695	0	0	5	1009	1.56	0.44	2.26	10988	173%	1024	9216	r941_prom_high_g344	false	true	320	16	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
LiloIvar	9	50	4650	100	57	5700	5643	57	0	0	0	5699	1	519	0	916	221.12	32.84	452.28	401284	219%	1024	9216	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
